acl 2.2.52-4
mono 5.12.0.260-1
mpc 0.30-1
mpd 0.20.18-3
mpfr 4.0.1-1
mpv 1:0.27.2-1
mtdev 1.1.5-1
mupdf 1.13.0-1
mutt 1.9.5-1
mysql 8.0.11-1
mysql-clients 8.0.11-1
nano 2.9.6-1
ncmpcpp 0.8.2-1
ncurses 6.1-3
neofetch 3.4.0-2
neon 0.30.2-3
nerd-fonts-complete 1.2.0-3
netcf 0.2.8-4
netctl 1.16-1
nettle 3.4-1
network-manager-applet 1.8.11dev+12+ga37483c1-1
networkmanager 1.10.8-1
nfs-utils 2.3.1-1
nfsidmap 2.3.1-1
nm-connection-editor 1.8.11dev+12+ga37483c1-1
nmap 7.70-2
node-gyp 3.6.2-1
nodejs 10.1.0-1
noto-fonts 20180322-1
npm 6.0.1-1
npth 1.5-1
nspr 4.19-1
nss 3.36.1-1
numactl 2.0.11-2
nvidia-340xx-utils 340.106-1
ocaml 4.06.0-2
ocaml-compiler-libs 4.06.0-2
ocaml-findlib 1.7.3-2
openal 1.18.2-1
opencl-nvidia 396.24-1
opencore-amr 0.1.5-1
openexr 2.2.1-1
openjpeg2 2.3.0-1
openresolv 3.9.0-1
openssh 7.7p1-1
openssl 1.1.0.h-1
openssl-1.0 1.0.2.o-1
opus 1.2.1-1
orc 0.4.28-1
p11-kit 0.23.10-1
p7zip 16.02-4
pacman 5.0.2-3
pacman-mirrorlist 20180415-1
pam 1.3.0-2
pambase 20171006-1
pamixer 1.3.1-8
pango 1.42.1-1
papirus-icon-theme 20180501-1
parted 3.2-6
patch 2.7.6-1
pciutils 3.5.6-1
pcmciautils 018-7
pcre 8.42-1
pcre2 10.31-1
peek 1.3.1-2
perl 5.26.2-1
perl-devel-symdump 2.18-2
perl-error 0.17025-2
perl-inc-latest 0.500-3
perl-io-stringy 2.111-3
perl-libintl-perl 1.29-1
perl-mailtools 2.20-1
perl-module-build 0.4224-5
perl-pod-coverage 0.23-2
perl-string-shellquote 1.04-4
perl-sys-virt 3.0.0-3
perl-test-pod-coverage 1.10-2
perl-timedate 2.30-4
perl-xml-parser 2.44-6
perl-xml-xpath 1.42-1
pinentry 1.1.0-3
pixman 0.34.0-1
pkg-config 0.29.2-1
polkit 0.114-1
polybar-git 3.1.0.r129.g930be72-1
popt 1.16-9
powerline 2.6-1
powerline-common 2.6-1
powerline-fonts 2.6-1
procps-ng 3.3.14-1
projectm 2.1.0-17
projectm-qt 2.1.0-17
psmisc 23.1-1
pulseaudio 11.1-1
pygobject2-devel 2.28.7-1
pygtk 2.24.0-8
pyqt5-common 5.10.1-2
python 3.6.5-2
python-anytree 2.4.3-1
python-appdirs 1.4.3-1
python-lxml 4.2.1-1
python-packaging 17.1-1
python-pip 9.0.1-3
python-powerline 2.6-1
python-pygments 2.2.0-1
python-pyparsing 2.2.0-1
python-setuptools 1:39.1.0-1
python-six 1.11.0-1
python2 2.7.15-1
python2-appdirs 1.4.3-1
python2-asn1crypto 0.24.0-1
python2-bcrypt 3.1.4-1
python2-cairo 1.17.0-1
python2-cffi 1.11.5-1
python2-crypto 2.6.1-5
python2-cryptography 2.2.2-1
python2-enum34 1.1.6-1
python2-gobject2 2.28.7-1
python2-idna 2.6-1
python2-ipaddress 1.0.22-1
python2-jinja 2.10-1
python2-markupsafe 1.0-1
python2-packaging 17.1-1
python2-paramiko 2.4.1-1
python2-pip 9.0.1-3
python2-ply 3.11-1
python2-pyasn1 0.4.2-1
python2-pycparser 2.18-1
python2-pynacl 1.2.1-1
python2-pyparsing 2.2.0-1
python2-setuptools 1:39.1.0-1
python2-six 1.11.0-1
python2-yaml 3.12-3
qemu-headless 2.12.0-1
qt4 4.8.7-24
qt5-base 5.10.1-8
qt5-imageformats 5.10.1-1
qt5-x11extras 5.10.1-1
ranger 1.9.1-1
re2 20180401-1
readline 7.0.003-1
reiserfsprogs 3.6.27-1
rest 0.8.1-1
rhash 1.3.6-1
rofi 1.5.1-1
rpcbind 0.2.4-4
rpcsvc-proto 1.3.1-1
rsync 3.1.3-1
rtkit 0.11+8+ge0a51fe-1
rubberband 1.8.1-4
ruby 2.5.1-1
ruby-rake 12.3.1-1
ruby-rdoc 6.0.3-1
rubygems 2.7.6-1
run-parts 4.8.4-1
rxvt-unicode 9.22-6
rxvt-unicode-terminfo 9.22-6
s-nail 14.9.10-1
scrot 0.8.17-2
sdl 1.2.15-9
sdl2 2.0.8-8
seabios 1.11.0-1
sed 4.5-1
semver 5.5.0-1
shadow 4.5-4
shared-mime-info 1.9-1
siji-git r22.9d88311-1
simplescreenrecorder 0.3.10-1
slang 2.3.2-1
smbclient 4.8.1-1
snappy 1.1.7-1
